FID,BuildingCl,BuildingUs,BUILDINGID,RuleID,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,Residential,Single Family Detached - R1,2061,1,39.0170829534,95.036633073,240.5390625,62.0739188657271
2,Residential,Single Family Detached - R1,2062,1,56.5514112158,154.913877108,392.0859375,89.9903843777337
3,Residential,Accessory Building,1013,1,11.6281790018,8.42178952455,21.3203125,18.4993195975258
4,Residential,Single Family Detached - R1,2063,1,56.1911025422,176.216690853,446.015625,89.4037104576901
5,Residential,Single Family Detached - R1,4170,1,54.98830852,178.280984016,451.109375,87.502355022493
6,Residential,Accessory Building,1014,1,15.3272830955,12.4915776719,31.6171875,24.3873870343962
7,Residential,Single Family Detached - R1,2064,1,40.6945840227,94.3008046004,238.6875,64.739142093607
8,Residential,Single Family Detached - R1,4171,1,57.8025007021,182.76136817,462.453125,91.9648750891456
9,Residential,Single Family Detached - R1,1015,1,42.2104305759,102.407607168,259.1640625,67.1568693099889
10,Residential,Single Family Detached - R1,2065,1,55.8472334683,166.276985371,420.8671875,88.8666280450174
11,Residential,Single Family Detached - R1,4172,1,50.9006019775,157.548614806,398.65625,80.975877826171
12,Residential,Accessory Building,1016,1,14.028653368,12.2861861593,31.09375,22.3171275974527
13,Residential,Accessory Building,2066,1,23.419459702,31.1988850981,78.9765625,37.2747664667078
14,Residential,Accessory Building,4173,1,11.1350357849,7.58299159812,19.1796875,17.716123897297
15,Residential,Accessory Building,2067,1,18.6867540677,19.4357155402,49.1796875,29.7432276268203
16,Residential,Accessory Building,4174,1,12.0698503711,9.10483942317,23.0390625,19.1995682132711
17,Residential,Single Family Detached - R1,1017,1,83.579987441,428.155949397,1083.578125,132.958109685737
18,Residential,Accessory Building,2068,1,21.9256604128,28.9459635339,73.2734375,34.8922052855655
19,Residential,Accessory Building,4175,1,7.77670064444,3.77967952704,9.5625,12.3704195720705
20,Residential,Single Family Detached - R1,1018,1,84.9264297249,309.384969379,782.984375,135.089316354027
21,Residential,Accessory Building,2069,1,12.3381290702,9.51315230572,24.078125,19.6299802981617
22,Residential,Single Family Detached - R1,4176,1,66.8627628362,221.543550536,560.6015625,106.392330651148
23,Residential,Accessory Building,1019,1,13.4366791969,12.7704419826,32.3359375,21.3755216594502
24,Residential,Single Family Detached - R1,2070,1,49.327582837,130.160982896,329.46875,78.5018886401027
