FID,GlobalID,DESCRIPTIO,LUC_CODE,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
1,{A3D27111-625C-4564-B78A-02172033C337},PUBLIC USE DISTRICT,PD,8128.01174914,1120.25254921,20537.2109375,1779.88060552269
2,{01F816D8-934C-467C-BF5A-0269C497810E},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,7759.75075608,414.096437439,19633.96875,658.880168490086
3,{DA6543A6-F85E-4E8B-A442-029E2EF27581},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,12590.0341786,519.041330214,31874.5546875,825.671677746698
4,{78E9CCCE-7BD2-4919-BC06-032673A04BCB},PUBLIC USE DISTRICT,PD,490.13201358,99.320231203,1240.1875,157.943866868687
5,{54AD9C07-9498-4777-830C-05A322CDB27E},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS DISTRICT,R1B,49453.2448259,1398.47630261,125156.234375,2225.5530256105
6,{E1B14F00-5231-45C9-95EA-05F19183FDD8},GATEWAY COMMERCIAL DISTRICT,GD,149136.844547,4162.10759658,377507.015625,6622.82981800547
7,{E4A42B04-022A-4590-AC05-0624B49CA4FA},COUNTRY INN DIRECT CONTROL DISTRICT,DC-49-96,6442.82998267,385.567493698,16306.359375,613.760512506059
8,{905DAF2D-7D9A-42A7-983B-06D1F25E9758},THREE SISTERS GATEWAY COMMERCIAL DISTRICT,TS-GD,20466.602275,783.112600898,51718.109375,1244.22956452874
9,{03F16A05-48B6-4CC7-B3AE-071CC25BCBED},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,4578.10505592,292.52208687,11583.1484375,465.079784851654
10,{2217733F-218C-4D62-9EF9-07605A03DAC0},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,7079.42271256,392.977522728,17914.84375,625.227425650374
11,{F3C5B37F-3E25-4030-A99D-07AAD150CC97},ENVIRONMENTAL DISTRICT,ED,118497.692182,3039.25175885,299868.671875,4835.76134191711
12,{91397310-BA3B-4B42-A9F0-07FC0DA1CF68},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS WIDE LOT DISTRICT,R1B-W,110559.006799,2854.29332039,279457.359375,4536.45018613121
13,{0ECA6D7D-952B-4FF3-8389-092F1AB200B8},TRANSITION INDUSTRIAL DISTRICT,TID,48865.7901674,1096.30160674,123730.5625,1745.08060035257
14,{26C954ED-D7F2-4A32-A1BD-0A980F81C4B3},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,1757.54833947,182.461415496,4441.5078125,289.974883281324
15,{D757A915-AE9E-4DF2-BA23-0B82A52ECD55},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,11803.4458207,424.584374387,29864.640625,675.334205103236
16,{FB9E8D28-C914-4C31-B4E0-0BF57A9F0A0C},PUBLIC USE DISTRICT,PD,6273.90044324,423.759114338,15880.28125,673.591762336383
17,{A7B1B051-CE59-4003-A3C9-0BFDB3D6D523},BOW VALLEY TRAIL - TEEPEE TOWN COMMERCIAL DISTRICT,BVT-T,28025.2756053,953.173601475,70957.9296875,1516.23038202501
